variavel,completude,base
cns_do_profissional_de_saude,0,GAL
identificacao_de_micobacteria_prevista_para,0.07148111468949903,GAL
data_uso_antibiotico,0.08993623884569696,GAL
medicamento,0.0956547280208569,GAL
tomou_vacina,0.09851397260843685,GAL
num_notificacao_sinan,0.1811721343221121,GAL
agravo_sinan,0.1811721343221121,GAL
cid_agravo_sinan,0.1811721343221121,GAL
data_notificacao_sinan,0.1811721343221121,GAL
unidade_notificacao_sinan,0.1811721343221121,GAL
cnes_unidade_notificacao_sinan,0.1811721343221121,GAL
municipio_notificacao_sinan,0.1811721343221121,GAL
ibge_municipio_notificacao_sinan,0.1811721343221121,GAL
cultura_prevista_para,0.24719469116259485,GAL
teste_de_sensibilidade_previsto_para,0.2518734550331802,GAL
etnia,0.26616967797108004,GAL
localizacao,0.31763608054751935,GAL
idade_gestacional,1.1889258857809768,GAL
usou_medicamento,1.2159587436999144,GAL
metodo_da_identificacao,1.8278370854420263,GAL
especie_identificada,1.9325894098779102,GAL
agente_etiologico,3.851402459470208,GAL
documento_paciente_1,4.788714821544148,GAL
kit,5.763197363256627,GAL
fabricante,5.763197363256627,GAL
rifampicina,6.399769180982384,GAL
documento_paciente_2,7.526571479815034,GAL
data_do_1_sintomas,9.115791607857204,GAL
tecnica_de_descontaminacao,9.211186404551917,GAL
data_do_encaminhamento,9.809808248660703,GAL
metodo_da_cultura,13.86577666180595,GAL
tecnica,14.177954184504454,GAL
cep_de_residencia,15.465913905546156,GAL
resultado,35.29997374693606,GAL
cns_do_paciente,43.52809987601276,GAL
raca_cor,45.098085085920296,GAL
zona,51.68188564581237,GAL
descricao_finalidade,51.97560804435468,GAL
finalidade,51.980026876899124,GAL
telefone_de_contato,54.586618215467475,GAL
dna_para_o_complexo_mycobacterium_tuberculosis,56.45370493115719,GAL
aspecto_da_amostra_de_escarro,57.22492117582535,GAL
data_inicio_do_processamento,60.79377828377742,GAL
bairro,80.24729866369306,GAL
nome_da_mae,88.90691079416818,GAL
numero_interno,90.4839141498816,GAL
laboratorio_de_execucao,91.53637608943717,GAL
cnes_laboratorio_de_execucao,91.53637608943717,GAL
data_da_liberacao,91.53637608943717,GAL
data_do_processamento,91.73288417200176,GAL
data_do_recebimento,96.2218981745023,GAL
data_de_nascimento,98.68760673430079,GAL
nacionalidade,98.72971560913606,GAL
reg_conselho_matricula,99.52796471172316,GAL
material_clinico,99.77048063901518,GAL
nome_profissional_de_saude,99.82428642352691,GAL
pais_de_residencia,99.97660618064708,GAL
sexo,99.97868563125623,GAL
amostra,99.9857037770621,GAL
requisicao,100,GAL
requisicao_correlativo_s_n,100,GAL
regional_de_cadastro,100,GAL
laboratorio_de_cadastro,100,GAL
cnes_laboratorio_de_cadastro,100,GAL
unidade_solicitante,100,GAL
cnes_unidade_solicitante,100,GAL
municipio_do_solicitante,100,GAL
ibge_municipio_solicitante,100,GAL
estado_do_solicitante,100,GAL
agravo_da_requisicao,100,GAL
data_da_solicitacao,100,GAL
paciente,100,GAL
idade,100,GAL
tipo_idade,100,GAL
endereco,100,GAL
municipio_de_residencia,100,GAL
ibge_municipio_de_residencia,100,GAL
estado_de_residencia,100,GAL
exame,100,GAL
metodologia,100,GAL
exame_condicionado_s_n,100,GAL
exame_restrito_s_n,100,GAL
exame_complementar_s_n,100,GAL
exame_correlativo_s_n,100,GAL
data_de_cadastro,100,GAL
material_biologico,100,GAL
codigo_da_amostra,100,GAL
data_da_coleta,100,GAL
laboratorio_responsavel,100,GAL
cnes_laboratorio_responsavel,100,GAL
status_exame,100,GAL
faixa_etaria,100,GAL
