variavel,completude,base
id_geo1,0,SINAN
cs_flxret,0,SINAN
flxrecebi,0,SINAN
migrado_w,0,SINAN
id_geo2,0.0020299622427022855,SINAN
extrapu2_n,0.33494377004587716,SINAN
situa_12_m,0.46080142909341887,SINAN
dt_mudanca,0.6414680686939224,SINAN
id_logrado,0.8586740286630667,SINAN
mun_transf,1.1672282895538142,SINAN
uf_transf,1.1915878364662418,SINAN
extrapul_o,1.5143518330559051,SINAN
transf,1.7477974909666678,SINAN
agravoutde,6.1284560107182005,SINAN
ant_retro,11.887458893264585,SINAN
test_sensi,12.244732247980188,SINAN
in_vincula,14.063578417441436,SINAN
extrapu1_n,16.292476959928546,SINAN
bac_apos_6,19.895659940725103,SINAN
situa_9_m,36.73216678169786,SINAN
nu_pront_a,37.1219195322967,SINAN
id_cns_sus,37.873005562096544,SINAN
doenca_tra,41.99585887702489,SINAN
institucio,43.3417238439365,SINAN
etionamida,43.768015914903984,SINAN
bacilos_e2,43.832974706670456,SINAN
estreptomi,43.869514027039095,SINAN
teste_tube,44.543461491616256,SINAN
trat_super,44.57391092525679,SINAN
etambutol,44.63683975478056,SINAN
pirazinami,44.90682473305996,SINAN
isoniazida,44.97787341155455,SINAN
rifampicin,44.98802322276806,SINAN
nm_complem,45.00426292070968,SINAN
cultura_ou,45.0306524298648,SINAN
nm_referen,45.05501197677723,SINAN
bacilosc_o,45.099671146116684,SINAN
benef_gov,48.67646461775811,SINAN
nu_cep,51.47172262595916,SINAN
pop_imig,52.58820185944542,SINAN
pop_saude,52.79119808371564,SINAN
pop_rua,52.85006698875401,SINAN
pop_liber,53.06930291096585,SINAN
agravdroga,53.08351264666478,SINAN
agravtabac,53.14238155170313,SINAN
nu_cep2,53.3758272096139,SINAN
test_molec,54.56335512159474,SINAN
id_distr_2,66.97251431123381,SINAN
id_distrit,68.28792984450489,SINAN
id_bairro2,68.66347285940482,SINAN
nu_prontua,68.79339044293776,SINAN
nu_comu_ex,68.80963014087938,SINAN
id_bairro,70.27729284235313,SINAN
bacilosc_6,70.54930778287523,SINAN
bacilosc_5,72.42499289513215,SINAN
nu_telefon,72.75790670293533,SINAN
tratsup_at,73.02383175672932,SINAN
nu_ddd_tel,73.09285047298121,SINAN
bacilosc_4,74.74726970078358,SINAN
bacilosc_3,76.75896228330153,SINAN
bacilosc_2,79.61714912102636,SINAN
bacilosc_1,81.68771060858268,SINAN
agravoutra,83.40505866590881,SINAN
nu_numero,89.41780682879299,SINAN
cs_escol_n,92.33689253379887,SINAN
agravaids,92.66777637935934,SINAN
nm_bairro2,93.57313953960457,SINAN
agravdoenc,94.9372741667005,SINAN
agravdiabe,95.27830782347448,SINAN
agravalcoo,95.28236774795988,SINAN
nm_bairro,95.79594819536356,SINAN
nu_contato,97.14587308676059,SINAN
nm_logrado,97.31638991514758,SINAN
histopatol,97.82388047582316,SINAN
cs_raca,97.82591043806586,SINAN
cs_zona,98.02687670009338,SINAN
cs_gestant,98.36588039462467,SINAN
raiox_tora,98.59323616580731,SINAN
dt_inic_tr,98.72924363606836,SINAN
id_munic_2,98.95862936949372,SINAN
dt_nasc,99.01749827453209,SINAN
sg_uf_2,99.34026227112176,SINAN
nm_mae_pac,99.34635215784986,SINAN
id_rg_resi,99.42958060980067,SINAN
id_unid_at,99.68941577686655,SINAN
nu_noti_at,99.76858430433194,SINAN
dt_noti_at,99.76858430433194,SINAN
sg_uf_at,99.77061426657464,SINAN
id_munic_a,99.77061426657464,SINAN
situa_ence,99.81324347367139,SINAN
dt_encerra,99.8193333603995,SINAN
tpuninot,99.94316105720434,SINAN
sg_uf,99.96549064187407,SINAN
id_mn_resi,99.96549064187407,SINAN
hiv,99.99188015102919,SINAN
tratamento,99.9939101132719,SINAN
forma,99.9939101132719,SINAN
bacilosc_e,99.9939101132719,SINAN
cultura_es,99.9939101132719,SINAN
id_regiona,99.9979700377573,SINAN
cs_sexo,99.9979700377573,SINAN
tp_not,100,SINAN
id_agravo,100,SINAN
dt_notific,100,SINAN
nu_ano,100,SINAN
sg_uf_not,100,SINAN
id_municip,100,SINAN
dt_diag,100,SINAN
nm_pacient,100,SINAN
fonetica_n,100,SINAN
soundex,100,SINAN
nu_idade_n,100,SINAN
ident_micr,100,SINAN
idade_anos,100,SINAN
no_munic,100,SINAN
faixa_etaria,100,SINAN
