variavel,completude,base
id_geo1,0,SINAN
cs_flxret,0,SINAN
flxrecebi,0,SINAN
migrado_w,0,SINAN
cns_do_profissional_de_saude,0,GAL
id_geo2,0.0020299622427022855,SINAN
identificacao_de_micobacteria_prevista_para,0.07148111468949903,GAL
data_uso_antibiotico,0.08993623884569696,GAL
medicamento,0.0956547280208569,GAL
tomou_vacina,0.09851397260843685,GAL
num_notificacao_sinan,0.1811721343221121,GAL
agravo_sinan,0.1811721343221121,GAL
cid_agravo_sinan,0.1811721343221121,GAL
data_notificacao_sinan,0.1811721343221121,GAL
unidade_notificacao_sinan,0.1811721343221121,GAL
cnes_unidade_notificacao_sinan,0.1811721343221121,GAL
municipio_notificacao_sinan,0.1811721343221121,GAL
ibge_municipio_notificacao_sinan,0.1811721343221121,GAL
cultura_prevista_para,0.24719469116259485,GAL
teste_de_sensibilidade_previsto_para,0.2518734550331802,GAL
etnia,0.26616967797108004,GAL
localizacao,0.31763608054751935,GAL
extrapu2_n,0.33494377004587716,SINAN
situa_12_m,0.46080142909341887,SINAN
dt_mudanca,0.6414680686939224,SINAN
id_logrado,0.8586740286630667,SINAN
mun_transf,1.1672282895538142,SINAN
idade_gestacional,1.1889258857809768,GAL
uf_transf,1.1915878364662418,SINAN
usou_medicamento,1.2159587436999144,GAL
extrapul_o,1.5143518330559051,SINAN
transf,1.7477974909666678,SINAN
metodo_da_identificacao,1.8278370854420263,GAL
especie_identificada,1.9325894098779102,GAL
agente_etiologico,3.851402459470208,GAL
documento_paciente_1,4.788714821544148,GAL
kit,5.763197363256627,GAL
fabricante,5.763197363256627,GAL
agravoutde,6.1284560107182005,SINAN
rifampicina,6.399769180982384,GAL
documento_paciente_2,7.526571479815034,GAL
data_do_1_sintomas,9.115791607857204,GAL
tecnica_de_descontaminacao,9.211186404551917,GAL
data_do_encaminhamento,9.809808248660703,GAL
ant_retro,11.887458893264585,SINAN
test_sensi,12.244732247980188,SINAN
metodo_da_cultura,13.86577666180595,GAL
in_vincula,14.063578417441436,SINAN
tecnica,14.177954184504454,GAL
cep_de_residencia,15.465913905546156,GAL
extrapu1_n,16.292476959928546,SINAN
bac_apos_6,19.895659940725103,SINAN
resultado,35.29997374693606,GAL
situa_9_m,36.73216678169786,SINAN
nu_pront_a,37.1219195322967,SINAN
id_cns_sus,37.873005562096544,SINAN
doenca_tra,41.99585887702489,SINAN
institucio,43.3417238439365,SINAN
cns_do_paciente,43.52809987601276,GAL
etionamida,43.768015914903984,SINAN
bacilos_e2,43.832974706670456,SINAN
estreptomi,43.869514027039095,SINAN
teste_tube,44.543461491616256,SINAN
trat_super,44.57391092525679,SINAN
etambutol,44.63683975478056,SINAN
pirazinami,44.90682473305996,SINAN
isoniazida,44.97787341155455,SINAN
rifampicin,44.98802322276806,SINAN
nm_complem,45.00426292070968,SINAN
cultura_ou,45.0306524298648,SINAN
nm_referen,45.05501197677723,SINAN
raca_cor,45.098085085920296,GAL
bacilosc_o,45.099671146116684,SINAN
benef_gov,48.67646461775811,SINAN
nu_cep,51.47172262595916,SINAN
zona,51.68188564581237,GAL
descricao_finalidade,51.97560804435468,GAL
finalidade,51.980026876899124,GAL
pop_imig,52.58820185944542,SINAN
pop_saude,52.79119808371564,SINAN
pop_rua,52.85006698875401,SINAN
pop_liber,53.06930291096585,SINAN
agravdroga,53.08351264666478,SINAN
agravtabac,53.14238155170313,SINAN
nu_cep2,53.3758272096139,SINAN
test_molec,54.56335512159474,SINAN
telefone_de_contato,54.586618215467475,GAL
dna_para_o_complexo_mycobacterium_tuberculosis,56.45370493115719,GAL
aspecto_da_amostra_de_escarro,57.22492117582535,GAL
data_inicio_do_processamento,60.79377828377742,GAL
id_distr_2,66.97251431123381,SINAN
id_distrit,68.28792984450489,SINAN
id_bairro2,68.66347285940482,SINAN
nu_prontua,68.79339044293776,SINAN
nu_comu_ex,68.80963014087938,SINAN
